1a + 1b + 5c + 2d = weight 1940.96, charge 8, weight/charge 242.61696728790892
1a + 1b + 5c + 3d = weight 2090.03, charge 7, weight/charge 298.5714489793003
1a + 1b + 5c + 4d = weight 2239.10, charge 6, weight/charge 373.1771137147715
1a + 1b + 5c + 5d = weight 2388.17, charge 5, weight/charge 477.6244475110498
1a + 2b + 0c + 0d = weight 1952.15, charge 0, weight/charge 19521500.0
1a + 2b + 0c + 1d = weight 2101.22, charge -1, weight/charge -2101.430143014302
1a + 2b + 0c + 2d = weight 2250.29, charge -2, weight/charge -1125.201260063003
1a + 2b + 0c + 3d = weight 2399.36, charge -3, weight/charge -799.8133271109037
1a + 2b + 0c + 4d = weight 2548.43, charge -4, weight/charge -637.1234280857022
1a + 2b + 0c + 5d = weight 2697.50, charge -5, weight/charge -539.5107902158043
1a + 2b + 1c + 0d = weight 2017.63, charge 2, weight/charge 1008.7645617719113
1a + 2b + 1c + 1d = weight 2166.70, charge 1, weight/charge 2166.4833516648337
1a + 2b + 1c + 2d = weight 2315.77, charge 0, weight/charge 23157700.0
1a + 2b + 1c + 3d = weight 2464.84, charge -1, weight/charge -2465.086508650865
1a + 2b + 1c + 4d = weight 2613.91, charge -2, weight/charge -1307.0203510175509
1a + 2b + 1c + 5d = weight 2762.98, charge -3, weight/charge -921.0240341344712
1a + 2b + 2c + 0d = weight 2083.11, charge 4, weight/charge 520.7644808879778
1a + 2b + 2c + 1d = weight 2232.18, charge 3, weight/charge 744.0351988267058
1a + 2b + 2c + 2d = weight 2381.25, charge 2, weight/charge 1190.5654717264135
1a + 2b + 2c + 3d = weight 2530.32, charge 1, weight/charge 2530.06699330067
1a + 2b + 2c + 4d = weight 2679.39, charge 0, weight/charge 26793900.000000004
1a + 2b + 2c + 5d = weight 2828.46, charge -1, weight/charge -2828.7428742874285
1a + 2b + 3c + 0d = weight 2148.59, charge 6, weight/charge 358.09236512724794
1a + 2b + 3c + 1d = weight 2297.66, charge 5, weight/charge 459.5228095438092
1a + 2b + 3c + 2d = weight 2446.73, charge 4, weight/charge 611.667208319792
1a + 2b + 3c + 3d = weight 2595.80, charge 3, weight/charge 865.2378254058198
1a + 2b + 3c + 4d = weight 2744.87, charge 2, weight/charge 1372.3663816809158
1a + 2b + 3c + 5d = weight 2893.94, charge 1, weight/charge 2893.6506349365063
1a + 2b + 4c + 0d = weight 2214.07, charge 8, weight/charge 276.75529055886807
1a + 2b + 4c + 1d = weight 2363.14, charge 7, weight/charge 337.58660590563
